index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2010,IV Q 2011,III Q 2012
Przychody netto ze sprzedaÅ¼y (tys. zl),1254070,1022800,1079658,1085872,1077008,888721,1025492,1195185,1225258,1016690,1060291,1063084,1327844,1046548,1220175,1225709,0,0,1324247
Zysk (strata) z dzialal. oper. (tys. zl),-216894,-61808,-132335,7879,-160832,32370,148465,91970,93263,68469,100483,112808,34157,16039,110304,-109420,0,0,131639
Zysk (strata) brutto (tys. zl),-233569,-74282,-155003,409,-192084,26773,142424,76220,99775,64202,99881,121523,17272,7785,96702,-102290,0,0,147079
Zysk (strata) netto (tys. zl),-195094,-66047,-128542,-5660,-149805,22203,140460,63985,78641,56867,69870,99052,14253,3733,72676,-81006,0,0,117573
Amortyzacja (tys. zl),130032,141891,146418,146566,110357,102396,107863,120311,93259,90820,90720,90520,106189,92170,94591,95425,0,0,102561
EBITDA (tys. zl),-86862,80083,14083,154445,-50475,134766,256328,212281,186522,159289,191203,203328,140346,108209,204895,-13995,0,0,234200
Aktywa (tys. zl),6112662,6103754,5970668,5959402,5680332,5407137,6336520,6246443,5743616,5625981,5362380,5504704,5623769,0,5552025,5730533,4500897,5370290,0
Kapital wlasny (tys. zl),3353866,3288891,3183999,3167438,3331793,3379418,3476337,3549488,3446517,3501942,3433138,3531710,3142594,0,3218348,3362852,2440632,2914989,0
Liczba akcji (tys. szt.),"44786,917","44786,917","44786,917","44786,917","44786,917","44786,917","44786,917","44786,917","43338,015","43338,015","44786,917","44786,917","43338,015","43338,015","43338,015","43338,015","43338,015","43338,015","43338,015"
Zysk na akcje (zl),"-4,356","-1,475","-2,870","-0,126","-3,345","0,496","3,136","1,429","1,815","1,312","1,560","2,212","0,329","0,086","1,677","-1,869","0,000","0,000","2,713"
Wartosc ksiegowa na akcje (zl),"74,885","73,434","71,092","70,722","74,392","75,455","77,619","79,253","79,526","80,805","76,655","78,856","72,514","0,000","74,262","77,596","56,316","67,262","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
