index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2009,IV Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),49970,46058,36725,41346,70085,48810,37277,50638,197901,46861,46859,63052,229964,196280,179214,184486,0,268457,184893,214121,0,0
Zysk (strata) z dzialal. oper. (tys. zl),6464,4611,2636,1406,4795,6207,4241,5889,4565,4710,2666,3094,20220,12039,6627,-20797,0,24448,13824,14689,0,0
Zysk (strata) brutto (tys. zl),6251,4435,2465,1236,4566,6004,4039,5668,3490,4484,2456,2853,18354,11015,5621,-21718,0,23499,12667,13722,0,0
Zysk (strata) netto (tys. zl),5325,3771,2111,1012,4211,5158,3482,4854,8258,3921,2026,2185,15862,9301,4781,-19656,0,19311,11466,11592,0,0
Amortyzacja (tys. zl),619,623,620,619,618,622,614,632,2117,618,618,618,0,2140,2144,2140,0,0,0,0,0,0
EBITDA (tys. zl),7083,5234,3256,2025,5413,6829,4855,6521,6682,5328,3284,3712,20220,14179,8771,-18657,0,24448,13824,14689,0,0
Aktywa (tys. zl),67685,61565,57890,53677,65021,58371,56881,66619,202607,187915,197363,208992,208917,255707,202537,200653,225442,0,206551,0,46105,157433
Kapital wlasny (tys. zl),24998,28355,14851,16344,17913,22911,15153,19424,33294,46322,39870,47194,56590,65668,43934,24223,64150,0,30904,0,33666,63745
Liczba akcji (tys. szt.),"20000,000","20000,000","20000,000","20000,000","68965,517","68965,517","20000,000","20000,000","68965,517","68965,517","68965,517","68965,517","68965,517","68965,517","68965,517","68965,517","68965,517","68965,517","68965,517","68965,517","68965,517","68965,517"
Zysk na akcje (zl),"0,266","0,189","0,106","0,051","0,061","0,075","0,174","0,243","0,120","0,057","0,029","0,032","0,230","0,135","0,069","-0,285","0,000","0,280","0,166","0,168","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"1,250","1,418","0,743","0,817","0,260","0,332","0,758","0,971","0,483","0,672","0,578","0,684","0,821","0,952","0,637","0,351","0,930","0,000","0,448","0,000","0,488","0,924"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
