index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013
Skladka na udziale wlasnym (tys. euro),6691000,6266000,6544000,6324000,6713000,6367000,6384000,6495000,6010000,5599000,5709000,5823000,0,5715000,5783000,5605000
Przychody z lokat (tys. euro),944000,1022000,940000,1019000,1148000,996000,1041000,952000,978000,1010000,938000,1048000,0,875000,1002000,937000
Wynik techniczny ubezpieczen majatkowych i osobowych (tys. euro),-125000,-432000,-313000,-343000,-539000,-347000,-449000,-411000,-370000,-364000,-352000,-546000,0,-210000,-382000,-506000
Zysk (strata) brutto (tys. euro),642000,536000,455000,548000,398000,597000,327000,455000,339000,506000,410000,395000,0,480000,451000,293000
Zysk (strata) netto (tys. euro),246000,222000,179000,234000,239000,251000,60000,177000,204000,216000,165000,149000,0,208000,204000,118000
Aktywa (tys. euro),152760000,154779000,157948000,159272000,147298000,160500000,154901000,152886000,132793000,136760000,139699000,144845000,130350000,0,0,0
Kapital wlasny (tys. euro),8282000,8532000,8653000,9002000,7998000,8747000,8022000,8078000,7127000,7538000,7645000,7937000,7153000,0,0,0
Liczba akcji (tys. euro),"252797,634","252797,634","252797,634","252797,634","252797,634","252797,634","252797,634","252797,634","252797,634","252797,634","252797,634","252797,634","252797,634","252797,634","252797,634","252797,634"
Zysk na akcje (tys. euro),"0,973","0,878","0,708","0,926","0,945","0,993","0,237","0,700","0,807","0,854","0,653","0,589","0,000","0,823","0,807","0,467"
Wartosc ksiegowa na akcje (euro),"32,761","33,750","34,229","35,610","31,638","34,601","31,733","31,954","28,193","29,818","30,242","31,397","28,295","0,000","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
